"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaickeaktuellaordinationer","hamtaickeaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaIckeAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaIckeAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaIckeAktuellaOrdinationerResponder:6, HamtaIckeAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal","","","",0,1,"","","","BackboneElement {[]} {[]}
","apotekspersonal","Den som godkänt ordinationen.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.anvandarId","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.anvandarId","","","",0,1,"","","","string {[]} {[]}
","anvandarId","Användar-id för farmaceut (legitimationskod) eller apotekspersonal (för- och efternamn) som uppdaterar en ordination. Användar-id är en övergångslösning fram tills alla apoteksaktörer har övergått till ORG-gränssnittet.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.anvandarId",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.apoteksId","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.apoteksId","","","",1,1,"","","","string {[]} {[]}
","apoteksId","Apoteks-id är en unik kod som definierar ett specifikt apotek tillhörande en specifik juridisk ägare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.apoteksId",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.befattningskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","Användarens befattningskod enligt HSA.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.befattningskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.efternamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","Användarens efternamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.efternamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.fornamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","Användarens förnamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.fornamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.legitimationskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","Förskrivares 7-ställiga förskrivarkod alternativt legitimerad användares 6-ställiga legitimationskod enligt Socialstyrelsen. Obligatorisk för gruppförskrivare (ej läkare) och för farmaceuter.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.legitimationskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.yrkeskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.yrkeskod","","","",0,1,"","","","string {[]} {[]}
","yrkeskod","Användarens yrkeskod som definierar vilken typ av legitimation som användaren innehar. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.apotekspersonal.yrkeskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.lagringstidpunkt","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.lagringstidpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","lagringstidpunkt","Datum och tid då ordinationen skapades i OR.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.lagringstidpunkt",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.mottagandeApotek","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.mottagandeApotek","","","",0,1,"","","","string {[]} {[]}
","mottagandeApotek","Apoteks-id (GLN) vid direktadressering av ordinationer.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.mottagandeApotek",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinationstidpunkt","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinationstidpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","ordinationstidpunkt","Datum och eventuell tid för ordinationens utfärdande.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinationstidpunkt",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator","","","",1,1,"","","","BackboneElement {[]} {[]}
","ordinator","Den ordinatör som utfärdat ordinationen.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.arbetsplatskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.arbetsplatskod","","","",0,1,"","","","string {[]} {[]}
","arbetsplatskod","Unik kod för identifiering av förskrivarens arbetsplats vid ordinationstillfället. Saknar förskrivare ordinarie arbetsplats anges en grupparbetsplatskod. Arbetsplatskoden anges för att styra ekonomiska transaktioner vid ordinationer inom förmånen.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.arbetsplatskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.befattningskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","Användarens befattningskod enligt HSA.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.befattningskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.efternamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","Användarens efternamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.efternamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.fornamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","Användarens förnamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.fornamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.forskrivarkod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.forskrivarkod","","","",1,1,"","","","string {[]} {[]}
","forskrivarkod","Förskrivarens individuella 7-ställiga legitimationskod eller förskrivarens gruppförskrivarkod då individuell kod saknas. Gruppförskrivarkod används då förskrivaren saknar individuell förskrivarkod men har via sin roll erhållit förskrivningsrätt. Kan exempelvis vara en AT-läkare eller förskrivare med förordnande. Förskrivarkoden definieras av Socialstyrelsen och gruppförskrivarkoden definieras av eHälsomyndigheten.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.forskrivarkod",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift","","","",1,1,"","","","BackboneElement {[]} {[]}
","kontaktuppgift","Ordinatörens kontaktinformation.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.adress1","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.adress1","","","",0,1,"","","","string {[]} {[]}
","adress1","Förskrivarens lokalitet eller patientens adress 1. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.adress1",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.adress2","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.adress2","","","",0,1,"","","","string {[]} {[]}
","adress2","Patientens adress 2 eller förskrivarens alternativt vårdcentralens gatuadress. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.adress2",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.postnummer","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","Patientens eller förskrivarens postnummer. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.postnummer",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.postort","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.postort","","","",0,1,"","","","string {[]} {[]}
","postort","Patientens eller förskrivarens postort. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.postort",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.telefonnummer1","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.telefonnummer1","","","",0,1,"","","","string {[]} {[]}
","telefonnummer1","Patientens eller förskrivarens telefonnummer 1. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.telefonnummer1",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.telefonnummer2","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.telefonnummer2","","","",0,1,"","","","string {[]} {[]}
","telefonnummer2","Patientens eller förskrivarens telefonnummer 2.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.kontaktuppgift.telefonnummer2",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.legitimationskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","Förskrivares 7-ställiga förskrivarkod alternativt legitimerad användares 6-ställiga legitimationskod enligt Socialstyrelsen. Obligatorisk för gruppförskrivare (ej läkare) och för farmaceuter.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.legitimationskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.utfardarkategori","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.utfardarkategori","","","",1,1,"","","","string {[]} {[]}
","utfardarkategori","Förskrivarens utfärdarkategori enligt NEF. LAK = Läkare ATL = AT-läkare LMF = Läkare med förordnande TAN = Tandläkare VET = Veterinär TAH = Tandhygienist BMO = Barnmorska SSK = Sjuksköterska HJM = Hjälpmedelsförskrivare","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.utfardarkategori",1,1,"",""
