"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaaktuellaordinationer","hamtaaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaAktuellaOrdinationerResponder:5, HamtaAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator","","","",0,1,"","","","BackboneElement {[]} {[]}
","dosordinator","Dosordinatör.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.id","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.extension","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.modifierExtension","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.arbetsplatskod","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.arbetsplatskod","","","",1,1,"","","","string {[]} {[]}
","arbetsplatskod","Unik kod för identifiering av förskrivarens arbetsplats vid ordinationstillfället. Saknar förskrivare ordinarie arbetsplats anges en grupparbetsplatskod. Arbetsplatskoden anges för att styra ekonomiska transaktioner vid ordinationer inom förmånen.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.arbetsplatskod",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.befattningskod","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","Användarens befattningskod enligt HSA.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.befattningskod",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.efternamn","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","Användarens efternamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.efternamn",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.fornamn","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","Användarens förnamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.fornamn",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.forskrivarkod","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.forskrivarkod","","","",1,1,"","","","string {[]} {[]}
","forskrivarkod","Förskrivarens individuella 7-ställiga legitimationskod eller förskrivarens gruppförskrivarkod då individuell kod saknas. Gruppförskrivarkod används då förskrivaren saknar individuell förskrivarkod men har via sin roll erhållit förskrivningsrätt. Kan exempelvis vara en AT-läkare eller förskrivare med förordnande. Förskrivarkoden definieras av Socialstyrelsen och gruppförskrivarkoden definieras av eHälsomyndigheten.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.forskrivarkod",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.legitimationskod","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","Förskrivares 7-ställiga förskrivarkod alternativt legitimerad användares 6-ställiga legitimationskod enligt Socialstyrelsen. Obligatorisk för gruppförskrivare (ej läkare) och för farmaceuter.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.legitimationskod",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.tidpunkt","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.tidpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","tidpunkt","Datum och tid då Dosunderlaget skapades.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.tidpunkt",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.yrkeskod","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.yrkeskod","","","",0,1,"","","","string {[]} {[]}
","yrkeskod","Användarens yrkeskod som definierar vilken typ av legitimation som användaren innehar. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosordinator.yrkeskod",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosproducent","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosproducent","","","",0,1,"","","","string {[]} {[]}
","dosproducent","Apoteks-id på dosproducent som patienten är kopplad till.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosproducent",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus","","","",1,1,"","","","BackboneElement {[]} {[]}
","dosunderlagsstatus","Tillståndsstatus för dosunderlag.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.id","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.extension","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.modifierExtension","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal","","","",0,1,"","","","BackboneElement {[]} {[]}
","apotekspersonal","Förändrande apotekspersonal","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.id","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.extension","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.modifierExtension","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.anvandarId","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.anvandarId","","","",0,1,"","","","string {[]} {[]}
","anvandarId","Användar-id för farmaceut (legitimationskod) eller apotekspersonal (för- och efternamn) som uppdaterar en ordination. Användar-id är en övergångslösning fram tills alla apoteksaktörer har övergått till ORG-gränssnittet.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.anvandarId",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.apoteksId","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.apoteksId","","","",1,1,"","","","string {[]} {[]}
","apoteksId","Apoteks-id är en unik kod som definierar ett specifikt apotek tillhörande en specifik juridisk ägare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.apoteksId",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.befattningskod","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","Användarens befattningskod enligt HSA.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.befattningskod",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.efternamn","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","Användarens efternamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.efternamn",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.fornamn","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","Användarens förnamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.fornamn",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.legitimationskod","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","Förskrivares 7-ställiga förskrivarkod alternativt legitimerad användares 6-ställiga legitimationskod enligt Socialstyrelsen. Obligatorisk för gruppförskrivare (ej läkare) och för farmaceuter.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.legitimationskod",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.yrkeskod","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.yrkeskod","","","",0,1,"","","","string {[]} {[]}
","yrkeskod","Användarens yrkeskod som definierar vilken typ av legitimation som användaren innehar. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.apotekspersonal.yrkeskod",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.dosunderlagsstatusStatus","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.dosunderlagsstatusStatus","","","",1,1,"","","","integer {[]} {[]}
","dosunderlagsstatusStatus","Status för dosunderlag, ordination eller uttag. Heter status i schemat.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.dosunderlagsstatusStatus",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.tidpunkt","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.tidpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","tidpunkt","Datum och tid då dosunderlag, ordination eller uttag senast förändrades.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsstatus.tidpunkt",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsversion","hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsversion","","","",1,1,"","","","integer {[]} {[]}
","dosunderlagsversion","Ny Dosunderlagsversion skapas varje gång Dosunderlaget ändrar status till ""Ej godkänt"". Dosunderlagsversionen skrivs ut på dosreceptet.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.dosunderlagsversion",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut","hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut","","","",0,1,"","","","BackboneElement {[]} {[]}
","godkannandeFarmaceut","Godkännande Farmaceut.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.id","hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.extension","hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.modifierExtension","hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.apoteksId","hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.apoteksId","","","",1,1,"","","","string {[]} {[]}
","apoteksId","Apoteks-id är en unik kod som definierar ett specifikt apotek tillhörande en specifik juridisk ägare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.apoteksId",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.befattningskod","hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","Användarens befattningskod enligt HSA.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.befattningskod",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.efternamn","hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","Användarens efternamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.efternamn",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.fornamn","hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","Användarens förnamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.fornamn",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.godkannandetidpunkt","hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.godkannandetidpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","godkannandetidpunkt","Datum och tid för dosunderlagets godkännande.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.godkannandetidpunkt",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.legitimationskod","hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","Förskrivares 7-ställiga förskrivarkod alternativt legitimerad användares 6-ställiga legitimationskod enligt Socialstyrelsen. Obligatorisk för gruppförskrivare (ej läkare) och för farmaceuter.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.legitimationskod",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.yrkeskod","hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.yrkeskod","","","",0,1,"","","","string {[]} {[]}
","yrkeskod","Användarens yrkeskod som definierar vilken typ av legitimation som användaren innehar. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.dosunderlag.godkannandeFarmaceut.yrkeskod",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","helforpackningsordinationLista","Lista med helförpackningsordinationer.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.id","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.extension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
