"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cancelbooking-request","cancelbooking-request","cancelbooking-request","","","",0,*,"","","","null {[]} {[]}
","CancelBooking — Request","Logisk modell för requestparametrar i CancelBooking.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.subject-of-care","getbookingdetails.timeslotDetail.subject_of_care","","","",1,1,"","","","string {[]} {[]}
","Personnummer enl. yyyymmddxxxx","Personnummer för invånaren.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.subject_of_care",1,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.purpose","getbookingdetails.timeslotDetail.purpose","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av besöksorsak angiven av vårdenhet","Beskrivning av besöksorsak angiven av vårdenhet.
Villkorlig: obligatorisk om isInvitation = true (kallelse).
Producenten kan använda DocBook-format version 5.0.
Kardinalitet: Valfri (villkorlig).","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.purpose",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.reason","getbookingdetails.timeslotDetail.reason","","","",0,1,"","","","string {[]} {[]}
","Kontaktorsak som invånare uppger","Kontaktorsak som invånare uppger vid bokning.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.reason",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.resourceName","getbookingdetails.timeslotDetail.resourceName","","","",0,1,"","","","string {[]} {[]}
","Namn på resurs","Namn på resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.resourceName",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.healthcare-facility-name","getbookingdetails.timeslotDetail.healthcare_facility_name","","","",0,1,"","","","string {[]} {[]}
","Namn på bokad mottagning/vårdenhet","Namn på bokad mottagning/vårdenhet.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.healthcare_facility_name",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.performerName","getbookingdetails.timeslotDetail.performerName","","","",0,1,"","","","string {[]} {[]}
","Namn på HoS-person","Namn på HoS-person som besöket är bokat hos.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.performerName",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.resourceID","getbookingdetails.timeslotDetail.resourceID","","","",0,1,"","","","string {[]} {[]}
","Identitet för resurs","Identitet för resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.resourceID",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.timeTypeName","getbookingdetails.timeslotDetail.timeTypeName","","","",0,1,"","","","string {[]} {[]}
","Tidstyp för det bokade besöket","Tidstyp för det bokade besöket.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.timeTypeName",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.timeTypeID","getbookingdetails.timeslotDetail.timeTypeID","","","",0,1,"","","","string {[]} {[]}
","Identitet för tidstyp","Identitet för tidstyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.timeTypeID",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.careTypeName","getbookingdetails.timeslotDetail.careTypeName","","","",0,1,"","","","string {[]} {[]}
","Klartext för vårdtyp","Klartext för vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.careTypeName",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.careTypeID","getbookingdetails.timeslotDetail.careTypeID","","","",0,1,"","","","string {[]} {[]}
","Identitet för vårdtyp","Identitet för vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.careTypeID",0,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.cancel-booking-allowed","getbookingdetails.timeslotDetail.cancel_booking_allowed","","","",1,1,"","","","boolean {[]} {[]}
","Om bokningen kan avbokas","Sätts av producenten. Anger om bokningen kan avbokas.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.cancel_booking_allowed",1,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.rebooking-allowed","getbookingdetails.timeslotDetail.rebooking_allowed","","","",1,1,"","","","boolean {[]} {[]}
","Om bokningen kan ombokas","Sätts av producenten. Anger om bokningen kan ombokas.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.rebooking_allowed",1,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.message-allowed","getbookingdetails.timeslotDetail.message_allowed","","","",1,1,"","","","boolean {[]} {[]}
","Om orsak kan skickas","Sätts av producenten. Anger om orsak till av- eller ombokning kan skickas.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.message_allowed",1,1,"",""
"getbookingdetails","getbookingdetails.timeslotDetail.isInvitation","getbookingdetails.timeslotDetail.isInvitation","","","",0,1,"","","","boolean {[]} {[]}
","Om bokningen är en kallelse","Sätts av producenten. Anger om bokningen skapats på vårdgivarens initiativ (kallelse).
isInvitation = true innebär kallelse; false eller saknat innebär invånariniterad bokning.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getbookingdetails.timeslotDetail.isInvitation",0,1,"",""
"getsubjectofcareschedule-request","getsubjectofcareschedule-request","getsubjectofcareschedule-request","","","",0,*,"","","","null {[]} {[]}
","GetSubjectOfCareSchedule — Request","Logisk modell för requestparametrar i GetSubjectOfCareSchedule.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getsubjectofcareschedule-request","getsubjectofcareschedule-request.healthcare-facility","getsubjectofcareschedule-request.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Observera att vid adressering av aggregerande tjänst kommer detta fält att ignoreras.
Fältet måste ändå finnas med av kompatibilitetsskäl.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule-request.healthcare_facility",1,1,"",""
"getsubjectofcareschedule-request","getsubjectofcareschedule-request.subject-of-care","getsubjectofcareschedule-request.subject_of_care","","","",1,1,"","","","string {[]} {[]}
","Personnummer enl. yyyymmddxxxx","Personnummer för invånaren.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule-request.subject_of_care",1,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule","getsubjectofcareschedule","","","",0,*,"","","","null {[]} {[]}
","GetSubjectOfCareSchedule","Logisk modell för tjänstekontraktet GetSubjectOfCareSchedule
(RIV-TA urn:riv:crm:scheduling:GetSubjectOfCareSchedule:1).
Representerar responsens informationsstruktur.
Tjänsten hämtar alla bokade tider för en invånare.
Öppna kallelser ingår inte i svaret.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail","getsubjectofcareschedule.timeslotDetail","","","",0,*,"","","","BackboneElement {[]} {[]}
","Lista med användarens tider (TimeslotType)","Lista med invånarens bokade tider för angiven vårdenhet. Öppna kallelser ingår inte.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.id","getsubjectofcareschedule.timeslotDetail.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.extension","getsubjectofcareschedule.timeslotDetail.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.modifierExtension","getsubjectofcareschedule.timeslotDetail.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.startTimeInclusive","getsubjectofcareschedule.timeslotDetail.startTimeInclusive","","","",1,1,"","","","string {[]} {[]}
","Startdatum och klockslag (ÅÅÅÅMMDDttmmss)","Startdatum och klockslag för bokad tid, på formatet ÅÅÅÅMMDDttmmss.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.startTimeInclusive",1,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.endTimeExclusive","getsubjectofcareschedule.timeslotDetail.endTimeExclusive","","","",1,1,"","","","string {[]} {[]}
","Slutdatum och klockslag (ÅÅÅÅMMDDttmmss)","Slutdatum och klockslag för bokad tid, på formatet ÅÅÅÅMMDDttmmss.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.endTimeExclusive",1,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.healthcare-facility","getsubjectofcareschedule.timeslotDetail.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.healthcare_facility",1,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.performer","getsubjectofcareschedule.timeslotDetail.performer","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-id för Hos-person","HSA-id för Hos-person som besöket är bokat hos.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.performer",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.bookingId","getsubjectofcareschedule.timeslotDetail.bookingId","","","",1,1,"","","","string {[]} {[]}
","Bokningsidentitet","Bokningsidentitet för det bokade besöket.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.bookingId",1,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.subject-of-care","getsubjectofcareschedule.timeslotDetail.subject_of_care","","","",1,1,"","","","string {[]} {[]}
","Personnummer enl. yyyymmddxxxx","Personnummer för invånaren.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.subject_of_care",1,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.purpose","getsubjectofcareschedule.timeslotDetail.purpose","","","",0,1,"","","","string {[]} {[]}
","Beskrivning av besöksorsak angiven av vårdenhet","Beskrivning av besöksorsak angiven av vårdenhet.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.purpose",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.reason","getsubjectofcareschedule.timeslotDetail.reason","","","",0,1,"","","","string {[]} {[]}
","Kontaktorsak som invånare uppger","Kontaktorsak som invånare uppger vid bokning.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.reason",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.resourceName","getsubjectofcareschedule.timeslotDetail.resourceName","","","",0,1,"","","","string {[]} {[]}
","Namn på resurs","Namn på resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.resourceName",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.healthcare-facility-name","getsubjectofcareschedule.timeslotDetail.healthcare_facility_name","","","",0,1,"","","","string {[]} {[]}
","Namn på bokad mottagning/vårdenhet","Namn på bokad mottagning/vårdenhet.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.healthcare_facility_name",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.performerName","getsubjectofcareschedule.timeslotDetail.performerName","","","",0,1,"","","","string {[]} {[]}
","Namn på HoS-person","Namn på HoS-person som besöket är bokat hos.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.performerName",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.resourceID","getsubjectofcareschedule.timeslotDetail.resourceID","","","",0,1,"","","","string {[]} {[]}
","Identitet för resurs","Identitet för resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.resourceID",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.timeTypeName","getsubjectofcareschedule.timeslotDetail.timeTypeName","","","",0,1,"","","","string {[]} {[]}
","Tidstyp","Tidstyp för det bokade besöket.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.timeTypeName",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.timeTypeID","getsubjectofcareschedule.timeslotDetail.timeTypeID","","","",0,1,"","","","string {[]} {[]}
","Identitet för tidstyp","Identitet för tidstyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.timeTypeID",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.careTypeName","getsubjectofcareschedule.timeslotDetail.careTypeName","","","",0,1,"","","","string {[]} {[]}
","Klartext för vårdtyp","Klartext för vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.careTypeName",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.careTypeID","getsubjectofcareschedule.timeslotDetail.careTypeID","","","",0,1,"","","","string {[]} {[]}
","Identitet för vårdtyp","Identitet för vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.careTypeID",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.cancel-booking-allowed","getsubjectofcareschedule.timeslotDetail.cancel_booking_allowed","","","",0,1,"","","","boolean {[]} {[]}
","Om bokningen kan avbokas","Sätts av producenten. Anger om bokningen kan avbokas.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.cancel_booking_allowed",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.rebooking-allowed","getsubjectofcareschedule.timeslotDetail.rebooking_allowed","","","",0,1,"","","","boolean {[]} {[]}
","Om bokningen kan ombokas","Sätts av producenten. Anger om bokningen kan ombokas.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.rebooking_allowed",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.message-allowed","getsubjectofcareschedule.timeslotDetail.message_allowed","","","",0,1,"","","","boolean {[]} {[]}
","Om orsak kan skickas","Sätts av producenten. Anger om orsak till av- eller ombokning kan skickas.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.message_allowed",0,1,"",""
"getsubjectofcareschedule","getsubjectofcareschedule.timeslotDetail.isInvitation","getsubjectofcareschedule.timeslotDetail.isInvitation","","","",0,1,"","","","boolean {[]} {[]}
","Om bokningen är en kallelse","Sätts av producenten. Anger om bokningen skapats på vårdgivarens initiativ.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getsubjectofcareschedule.timeslotDetail.isInvitation",0,1,"",""
"makebooking-request","makebooking-request","makebooking-request","","","",0,*,"","","","null {[]} {[]}
","MakeBooking — Request","Logisk modell för requestparametrar i MakeBooking.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"makebooking-request","makebooking-request.healthcare-facility-med","makebooking-request.healthcare_facility_med","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för avsändar-vårdenhet","HSA-id för mottagning (avsändar-vårdenhet i begäran).
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"makebooking-request.healthcare_facility_med",1,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot","makebooking-request.requestedTimeslot","","","",1,1,"","","","BackboneElement {[]} {[]}
","Information för aktuell bokning (TimeslotType)","Information för aktuell bokning.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"makebooking-request","makebooking-request.requestedTimeslot.id","makebooking-request.requestedTimeslot.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.extension","makebooking-request.requestedTimeslot.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"makebooking-request","makebooking-request.requestedTimeslot.modifierExtension","makebooking-request.requestedTimeslot.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"makebooking-request","makebooking-request.requestedTimeslot.startTimeInclusive","makebooking-request.requestedTimeslot.startTimeInclusive","","","",1,1,"","","","string {[]} {[]}
","Startdatum och klockslag (ÅÅÅÅMMDDttmmss)","Startdatum och klockslag för bokad tid.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.startTimeInclusive",1,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.endTimeExclusive","makebooking-request.requestedTimeslot.endTimeExclusive","","","",1,1,"","","","string {[]} {[]}
","Slutdatum och klockslag (ÅÅÅÅMMDDttmmss)","Slutdatum och klockslag för bokad tid.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.endTimeExclusive",1,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.healthcare-facility","makebooking-request.requestedTimeslot.healthcare_facility","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för mottagning/vårdenhet","HSA-id för mottagning/vårdenhet.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.healthcare_facility",1,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.performer","makebooking-request.requestedTimeslot.performer","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-id för HoS-person","HSA-id för HoS-person som besöket är bokat hos.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.performer",0,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.bookingId","makebooking-request.requestedTimeslot.bookingId","","","",0,1,"","","","string {[]} {[]}
","Bokningsidentitet (öppen kallelse)","Bokningsidentitet. Används vid bokning mot öppen kallelse.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.bookingId",0,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.subject-of-care","makebooking-request.requestedTimeslot.subject_of_care","","","",1,1,"","","","string {[]} {[]}
","Personnummer enl. yyyymmddxxxx","Personnummer för invånaren.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.subject_of_care",1,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.purpose","makebooking-request.requestedTimeslot.purpose","","","",0,1,"","","","string {[]} {[]}
","Besöksorsak","Beskrivning av besöksorsak angiven av vårdenhet.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.purpose",0,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.reason","makebooking-request.requestedTimeslot.reason","","","",0,1,"","","","string {[]} {[]}
","Kontaktorsak","Kontaktorsak som invånare uppger.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.reason",0,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.resourceName","makebooking-request.requestedTimeslot.resourceName","","","",0,1,"","","","string {[]} {[]}
","Namn på resurs","Namn på resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.resourceName",0,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.healthcare-facility-name","makebooking-request.requestedTimeslot.healthcare_facility_name","","","",0,1,"","","","string {[]} {[]}
","Namn på mottagning","Namn på mottagning/vårdenhet.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.healthcare_facility_name",0,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.performerName","makebooking-request.requestedTimeslot.performerName","","","",0,1,"","","","string {[]} {[]}
","Namn på HoS-person","Namn på HoS-person.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.performerName",0,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.resourceID","makebooking-request.requestedTimeslot.resourceID","","","",0,1,"","","","string {[]} {[]}
","Identitet för resurs","Identitet för resurs.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.resourceID",0,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.timeTypeName","makebooking-request.requestedTimeslot.timeTypeName","","","",0,1,"","","","string {[]} {[]}
","Tidstyp","Tidstyp för det bokade besöket.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.timeTypeName",0,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.timeTypeID","makebooking-request.requestedTimeslot.timeTypeID","","","",0,1,"","","","string {[]} {[]}
","Identitet för tidstyp","Identitet för tidstyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.timeTypeID",0,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.careTypeName","makebooking-request.requestedTimeslot.careTypeName","","","",0,1,"","","","string {[]} {[]}
","Klartext för vårdtyp","Klartext för vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.careTypeName",0,1,"",""
"makebooking-request","makebooking-request.requestedTimeslot.careTypeID","makebooking-request.requestedTimeslot.careTypeID","","","",0,1,"","","","string {[]} {[]}
","Identitet för vårdtyp","Identitet för vårdtyp.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"makebooking-request.requestedTimeslot.careTypeID",0,1,"",""
"makebooking-request","makebooking-request.subject-of-care-info","makebooking-request.subject_of_care_info","","","",1,1,"","","","BackboneElement {[]} {[]}
","Invånarinformation (SubjectOfCareType)","Invånarens kontaktinformation.
Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"makebooking-request.subject_of_care_info",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"makebooking-request","makebooking-request.subject-of-care-info.id","makebooking-request.subject_of_care_info.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
